episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
0,153,7,argmax,27.63102149963379,7,0.0,1.0,0.9953142404556274,0.9953142404556274,5897.6396484375,-897.6396484375,897.6396484375
1,95,9,argmax,27.63102149963379,9,0.0,1.0,0.9959864616394043,0.9959864616394043,5651.94677734375,-651.94677734375,651.94677734375
2,102,10,argmax,4.131257057189941,10,0.016062676906585693,0.9859723448753357,0.9762604236602783,0.992323100566864,5033.86279296875,-33.862823486328125,33.862823486328125
3,183,10,argmax,7.702923774719238,10,0.000451505184173584,1.0,0.9944337606430054,0.994885265827179,5120.4111328125,-120.41118621826172,120.41118621826172
4,210,10,argmax,27.63102149963379,10,0.0,0.9930789470672607,0.9948321580886841,0.9948321580886841,5145.53271484375,-145.53253173828125,145.53253173828125
5,233,10,argmax,27.63102149963379,10,0.0,0.9891811609268188,0.9945968389511108,0.9945968389511108,5129.8720703125,-129.872314453125,129.872314453125
6,131,11,argmax,5.906379222869873,11,0.002722024917602539,1.0,0.9924441576004028,0.9951661825180054,5074.05322265625,-74.05342864990234,74.05342864990234
7,165,11,argmax,4.900832176208496,11,0.007440388202667236,1.0,0.9843679070472717,0.991808295249939,5062.005859375,-62.00562286376953,62.00562286376953
8,235,11,argmax,4.027898788452148,11,0.017811715602874756,0.9921103715896606,0.9774417281150818,0.9952534437179565,5025.2802734375,-25.28045654296875,25.28045654296875
9,17,12,argmax,4.085657119750977,12,0.01681208610534668,0.9869285821914673,0.9782249927520752,0.9950370788574219,5566.6552734375,-566.655029296875,566.655029296875
10,52,12,argmax,7.16198205947876,12,0.0007755160331726074,0.9939290881156921,0.986457884311676,0.9872334003448486,5027.19482421875,-27.19500732421875,27.19500732421875
11,126,12,argmax,5.397175312042236,12,0.004529356956481934,1.0,0.9880132079124451,0.992542564868927,5075.736328125,-75.73638916015625,75.73638916015625
12,167,12,argmax,7.539481163024902,12,0.0005316734313964844,1.0,0.9952572584152222,0.9957889318466187,6162.8388671875,-1162.8388671875,1162.8388671875
13,182,12,argmax,7.130062580108643,12,0.0008006691932678223,0.9963878989219666,0.9944337606430054,0.9952344298362732,5130.55810546875,-130.55819702148438,130.55819702148438
14,163,13,argmax,4.1664838790893555,13,0.01550668478012085,0.9743128418922424,0.9755717515945435,0.9910784363746643,5453.91748046875,-453.91748046875,453.91748046875
15,166,13,argmax,4.177168846130371,13,0.015341877937316895,0.9856047034263611,0.9800140857696533,0.9953559637069702,5384.671875,-384.6717224121094,384.6717224121094
16,169,13,argmax,3.788809299468994,13,0.022622525691986084,0.9767248630523682,0.972536027431488,0.9951585531234741,5153.31640625,-153.31646728515625,153.31646728515625
17,175,13,argmax,4.852053165435791,13,0.007812321186065674,0.9859994053840637,0.9863976836204529,0.9942100048065186,5256.67333984375,-256.6733703613281,256.6733703613281
18,191,13,argmax,6.969414234161377,13,0.0009402036666870117,0.9929576516151428,0.9932584166526794,0.9941986203193665,5458.8232421875,-458.8232421875,458.8232421875
19,211,13,argmax,8.26290225982666,13,0.00025790929794311523,0.9840308427810669,0.994437575340271,0.9946954846382141,6203.322265625,-1203.322021484375,1203.322021484375
20,5,14,argmax,6.762710094451904,14,0.0011560916900634766,0.9833150506019592,0.993110716342926,0.9942668080329895,5897.775390625,-897.7752685546875,897.7752685546875
21,27,14,argmax,6.1053314208984375,14,0.0022309422492980957,1.0,0.9934706687927246,0.9957016110420227,5672.5341796875,-672.5339965820312,672.5339965820312
22,53,14,argmax,10.084451675415039,14,4.172325134277344e-05,0.9927926063537598,0.995492696762085,0.9955344200134277,5430.2099609375,-430.2097473144531,430.2097473144531
23,105,14,argmax,5.491730213165283,14,0.0041207075119018555,1.0,0.983553409576416,0.9876741170883179,6776.701171875,-1776.701171875,1776.701171875
24,128,14,argmax,5.932063102722168,14,0.0026530027389526367,0.9931463003158569,0.9922133088111877,0.9948663115501404,5033.91015625,-33.91029357910156,33.91029357910156
25,150,14,argmax,8.34073257446289,14,0.00023859739303588867,0.993930995464325,0.9924024939537048,0.9926410913467407,5063.65625,-63.65629577636719,63.65629577636719
26,221,14,argmax,27.63102149963379,14,0.0,0.9868513345718384,0.9928758144378662,0.9928758144378662,5003.19775390625,-3.197662353515625,3.197662353515625
27,6,15,argmax,27.63102149963379,15,0.0,0.9973651170730591,0.9941189289093018,0.9941189289093018,5279.982421875,-279.98260498046875,279.98260498046875
28,33,15,argmax,4.194521903991699,15,0.015077948570251465,0.9947556853294373,0.9796403646469116,0.9947183132171631,5780.56103515625,-780.56103515625,780.56103515625
29,35,15,argmax,27.63102149963379,15,0.0,0.9829390645027161,0.9949991703033447,0.9949991703033447,5051.20361328125,-51.20361328125,51.20361328125
30,36,15,argmax,5.768813133239746,15,0.003123462200164795,0.9851278066635132,0.9921451807022095,0.9952686429023743,5303.72412109375,-303.7243347167969,303.7243347167969
31,69,15,argmax,6.80332612991333,15,0.001110076904296875,1.0,0.9925766587257385,0.9936867356300354,5172.47998046875,-172.4798583984375,172.4798583984375
32,84,15,argmax,5.292731285095215,15,0.0050280094146728516,0.991847574710846,0.9877758622169495,0.9928038716316223,5148.759765625,-148.7598876953125,148.7598876953125
33,86,15,argmax,27.63102149963379,15,0.0,0.9751980900764465,0.9895710945129395,0.9895710945129395,5104.94970703125,-104.94986724853516,104.94986724853516
34,157,15,argmax,5.100483417510986,15,0.006093800067901611,0.9926934838294983,0.9891558885574341,0.9952496886253357,5049.4462890625,-49.44622802734375,49.44622802734375
35,185,15,argmax,27.63102149963379,15,0.0,1.0,0.9943123459815979,0.9943123459815979,5493.4287109375,-493.428466796875,493.428466796875
36,187,15,argmax,27.63102149963379,15,0.0,1.0,0.994820773601532,0.994820773601532,5336.06298828125,-336.06298828125,336.06298828125
37,196,15,argmax,27.63102149963379,15,0.0,0.9874863624572754,0.9947220683097839,0.9947220683097839,5031.8095703125,-31.8095703125,31.8095703125
38,217,15,argmax,5.036640167236328,15,0.006495535373687744,0.9980913400650024,0.9878851175308228,0.9943806529045105,5200.38037109375,-200.3803253173828,200.3803253173828
39,250,15,argmax,27.63102149963379,15,0.0,1.0,0.9937852621078491,0.9937852621078491,5020.85205078125,-20.852081298828125,20.852081298828125
40,254,15,argmax,5.9281392097473145,15,0.00266343355178833,0.9929941892623901,0.9918537735939026,0.9945172071456909,6584.3154296875,-1584.315673828125,1584.315673828125
41,4,16,argmax,5.136776924133301,16,0.005876600742340088,0.9917796850204468,0.9896730184555054,0.9955496191978455,5166.6259765625,-166.62599182128906,166.62599182128906
42,19,16,argmax,27.63102149963379,16,0.0,0.9947734475135803,0.9956369996070862,0.9956369996070862,5165.033203125,-165.03341674804688,165.03341674804688
43,40,16,argmax,27.63102149963379,16,0.0,0.9891454577445984,0.9944906830787659,0.9944906830787659,6320.08349609375,-1320.0833740234375,1320.0833740234375
44,42,16,argmax,27.63102149963379,16,0.0,0.9909827709197998,0.9947068691253662,0.9947068691253662,5014.365234375,-14.365447998046875,14.365447998046875
