method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
random,results/pilot_random.csv,512,0.004621605388820137,0.0020896196365356003,0.006482615996897042,0.0,0.0511144995689392,0.37109375,5257.03998374939,5147.41015625,257.92299046367407,147.4101333618164,-257.0399868711829,-147.4101333618164,19.791015625,20.0,0.9928765509976074,0.9962567687034606,0.9893533294089139,0.9916154146194458,0.993974934797734,0.9944868683815002
ei,results/pilot_ei.csv,512,0.03929892391897734,0.02665564417839045,0.0434282101666703,0.0,0.2544186115264892,0.076171875,4878.5566391944885,5085.42919921875,116.54630506038666,85.42929077148438,121.44335606694221,-85.42929077148438,22.40234375,24.0,0.9659824024420232,0.9783360958099365,0.9546910343924537,0.9676235020160675,0.9939899583114311,0.9945304989814758
eipu,results/pilot_eipu.csv,512,0.0026868548011406983,0.0004433691501617,0.00464475257839524,0.0,0.0362881422042846,0.546875,4867.575640678406,5022.0771484375,103.00620498508215,22.077163696289062,132.42436046153307,-22.077163696289062,25.95703125,28.0,0.994626313331537,0.997129648923874,0.9911705699050799,0.9929516017436981,0.9938574247062206,0.9943521618843079
ei_cool,results/pilot_ei_cool.csv,512,0.0021137814037501625,0.0,0.004435701274644883,0.0,0.0466689467430114,0.6640625,5065.120527744293,5094.34423828125,123.0384092181921,94.34432983398438,-65.12053284049034,-94.34432983398438,22.91796875,23.0,0.9955935969483107,0.9984243214130402,0.9918364954646677,0.9937720000743866,0.9939502768684179,0.9944583773612976
nocost_af,results/pilot_nocost_argmax.csv,512,0.0027962941676377964,0.0008173584938049,0.004385190958666435,0.0,0.0258495807647705,0.525390625,5264.363911628723,5165.60595703125,320.29304149001837,165.6060028076172,-264.36391615122557,-165.6060028076172,20.548828125,20.0,0.993792945635505,0.9965780675411224,0.991127538960427,0.9926618933677672,0.9939238331280649,0.9944109618663788
costgp_af,results/pilot_costgp_argmax.csv,512,0.0021913651144131762,0.00024852156639095,0.003569328912884203,0.0,0.022622525691986,0.587890625,5208.901937961578,5136.65576171875,255.6220576018095,136.65567779541016,-208.90194237232208,-136.65567779541016,20.759765625,21.0,0.9942959835752845,0.9964660406112671,0.9917345381109044,0.9930709302425385,0.9939259032253176,0.9944413304328918
