method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
nocost_cost7,results/nocost_cost7_test8_epi64.csv,512,0.026230132963973994,0.00711590051651,0.049494916146963545,0.0,0.481978178024292,0.3984375,5638.876117706299,5186.099365234375,853.2879080101848,186.09940338134766,-638.8761124014854,-186.09940338134766,15.296875,13.5,0.7987140333862044,0.8296016156673431,0.7969275729265064,0.8311340808868408,0.8231577058904804,0.8382553458213806
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,512,0.020933806779794364,0.0061976313591003,0.033074826231428676,0.0,0.4050595164299011,0.396484375,5715.973355770111,5311.362548828125,905.8710741400719,311.36260986328125,-715.9733513593674,-311.36260986328125,14.857421875,13.0,0.8026567616034299,0.828471451997757,0.8001614594832063,0.8255705535411835,0.8210952662630007,0.8349415957927704
cost_unc_cost7,results/cost7_unc_test8_epi64.csv,512,0.030620588513556844,0.0046647489070892004,0.05341231780136789,0.0,0.4125995635986328,0.423828125,5560.712303161621,5213.19970703125,798.9510340839624,213.19969177246094,-560.7122903317213,-213.19969177246094,16.0703125,15.0,0.7961754666175693,0.831224799156189,0.7936737815034576,0.828207939863205,0.8242943700170144,0.8364028334617615
