method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,group,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
nocost_cost7,results/nocost_cost7_test8_epi64.csv,64,0.04591807071119544,0.01407530903816215,0.060333717011813844,0.0,0.251412957906723,0.453125,168331,5684.327789306641,5168.075927734375,684.3277651071548,168.0760955810547,-684.3277651071548,-168.0760955810547,16.546875,18.0,0.5652160425670445,0.5608269274234772,0.5651885862462223,0.565824031829834,0.6111066569574177,0.6090652644634247
nocost_cost7,results/nocost_cost7_test8_epi64.csv,64,0.02165168616920706,0.014770120382308901,0.024731673713975142,0.0,0.0979886651039123,0.34375,168335,6682.044525146484,5540.219482421875,1682.0445218086243,540.2196044921875,-1682.0445218086243,-540.2196044921875,11.25,12.0,0.9192889388650656,0.9201852679252625,0.9153191540390253,0.9144324958324432,0.9369708402082324,0.9361550211906433
nocost_cost7,results/nocost_cost7_test8_epi64.csv,64,0.0007152240723371191,0.0002011954784393,0.0011043531998003767,0.0,0.0057959556579589,0.71875,168868,5293.560081481934,5147.337158203125,293.56008517742157,147.33716583251953,-293.56008517742157,-147.33716583251953,18.53125,19.0,0.9992145830765367,1.0,0.9951144931837916,0.9954148530960083,0.9958297172561288,0.9959180653095245
nocost_cost7,results/nocost_cost7_test8_epi64.csv,64,0.025195780210196934,0.0213592946529388,0.024923512133567575,0.0,0.0923627614974975,0.25,168908,6032.505729675293,5823.51318359375,1032.5057218074799,823.5133666992188,-1032.5057218074799,-823.5133666992188,3.5625,4.0,0.788995761424303,0.7859298884868622,0.7878059549257159,0.7848671972751617,0.8130017351359129,0.8105657696723938
nocost_cost7,results/nocost_cost7_test8_epi64.csv,64,0.05873138038441535,0.027775079011917052,0.10092027191972713,0.0,0.481978178024292,0.171875,168910,5376.209114074707,5338.00439453125,376.2091021537781,338.0044860839844,-376.2091021537781,-338.0044860839844,9.1875,9.0,0.6381677901372313,0.6607562303543091,0.6363329687155783,0.6586170792579651,0.6950643490999937,0.6878021061420441
nocost_cost7,results/nocost_cost7_test8_epi64.csv,64,0.04198289569467302,0.034639090299606254,0.03758262508352316,0.0,0.1676378846168518,0.171875,189354,7716.442970275879,6465.3671875,2716.4429898262024,1465.367431640625,-2716.4429898262024,-1465.367431640625,4.296875,4.0,0.6791115906089544,0.6815076768398285,0.6788032157346606,0.6821249723434448,0.7207861114293337,0.7190057635307312
nocost_cost7,results/nocost_cost7_test8_epi64.csv,64,0.008325682953000057,0.0,0.014576162532110255,0.0,0.0611539483070373,0.640625,189862,4414.477626800537,4489.78173828125,33.47574609518051,0.0,585.5223809480667,510.2180938720703,29.15625,30.0,0.8548134583979845,0.8553428053855896,0.8547037877142429,0.8511417508125305,0.863029470667243,0.8645924031734467
nocost_cost7,results/nocost_cost7_test8_epi64.csv,64,0.007320343516766994,0.00352767109870905,0.00972319167352858,0.0,0.035229206085205,0.4375,189865,3911.441104888916,3864.9136962890625,7.737332105636597,0.0,1088.5589057207108,1135.0863647460938,29.84375,30.0,0.9449041020125151,0.9448161125183105,0.9421524228528142,0.9410298466682434,0.9494727663695812,0.9484845399856567
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,64,0.03999836090952155,0.035442858934402396,0.04732642655786681,0.0,0.2354713976383209,0.40625,168331,5602.729080200195,5275.02099609375,602.7290903329849,275.0210418701172,-602.7290903329849,-275.0210418701172,14.609375,15.0,0.5557795194908977,0.5338103175163269,0.553451812826097,0.5375461578369141,0.5934501737356186,0.5861012935638428
cost_mean_cost7,results/cost7_mean_test8_epi64.csv,64,0.01899861451238391,0.01274982094764705,0.021456642938189472,0.0,0.0942744612693786,0.375,168335,6278.051528930664,5341.52978515625,1278.051560640335,341.52960205078125,-1278.051560640335,-341.52960205078125,11.390625,11.5,0.9198191873729229,0.9243050515651704,0.9181480035185814,0.9211392104625702,0.9371466180309653,0.937200278043747
