episode_index,lane,step_count,method,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
0,73,3,ei,3.8687446117401123,3,0.020884573459625244,0.9796006679534912,0.973731279373169,0.9946158528327942,6995.083984375,-1995.083740234375,1995.083740234375
1,178,3,ei,4.619676113128662,3,0.009855985641479492,0.98862224817276,0.985386073589325,0.9952420592308044,6991.66552734375,-1991.66552734375,1991.66552734375
2,228,5,ei,4.031257629394531,5,0.017751991748809814,0.9700628519058228,0.9762455821037292,0.9939975738525391,6229.9228515625,-1229.923095703125,1229.923095703125
3,102,6,ei,3.873929500579834,6,0.020776569843292236,1.0,0.9731186032295227,0.9938951730728149,5320.0703125,-320.0704345703125,320.0704345703125
4,103,6,ei,4.834035396575928,6,0.00795435905456543,1.0,0.9875535368919373,0.9955078959465027,5913.99755859375,-913.9976806640625,913.9976806640625
5,255,7,ei,5.248748302459717,7,0.005254089832305908,1.0,0.9903943538665771,0.9956484436988831,5501.69091796875,-501.69091796875,501.69091796875
6,114,8,ei,3.8254799842834473,8,0.021807968616485596,0.9685131907463074,0.9729292988777161,0.9947372674942017,5138.10107421875,-138.10107421875,138.10107421875
7,175,8,ei,4.243731498718262,8,0.014353930950164795,0.984511137008667,0.9773485064506531,0.9917024374008179,5380.15869140625,-380.15863037109375,380.15863037109375
8,253,9,ei,6.866490840911865,9,0.0010421276092529297,1.0,0.9928341507911682,0.9938762784004211,5282.1435546875,-282.1435546875,282.1435546875
9,74,10,ei,4.407297134399414,10,0.012188076972961426,0.9914624094963074,0.9834033250808716,0.995591402053833,5416.61328125,-416.61334228515625,416.61334228515625
10,125,10,ei,2.3439230918884277,10,0.09595048427581787,0.8978069424629211,0.8980054259300232,0.9939559102058411,5239.45849609375,-239.4586181640625,239.4586181640625
11,196,10,ei,3.652003526687622,10,0.025939106941223145,0.9885523319244385,0.967307984828949,0.9932470917701721,5324.884765625,-324.88482666015625,324.88482666015625
12,13,11,ei,3.846813917160034,11,0.021347641944885254,0.9706154465675354,0.9737387895584106,0.9950864315032959,5482.3291015625,-482.3291015625,482.3291015625
13,32,11,ei,4.89666748046875,11,0.007471442222595215,0.9981484413146973,0.9844692945480347,0.9919407367706299,5068.75537109375,-68.75543212890625,68.75543212890625
14,101,11,ei,3.4401137828826904,11,0.03206104040145874,0.9840143322944641,0.9629305005073547,0.9949915409088135,5445.63916015625,-445.63922119140625,445.63922119140625
15,23,12,ei,2.398200511932373,12,0.09088134765625,0.9136440753936768,0.9043341875076294,0.9952155351638794,5276.62255859375,-276.62274169921875,276.62274169921875
16,112,12,ei,2.9357402324676514,12,0.05309140682220459,0.9539379477500916,0.941406786441803,0.9944981932640076,5170.93359375,-170.93341064453125,170.93341064453125
17,135,12,ei,4.3433918952941895,12,0.012992382049560547,0.9918692708015442,0.9824471473693848,0.9954395294189453,5044.40966796875,-44.40985107421875,44.40985107421875
18,173,12,ei,3.070733070373535,12,0.04638713598251343,0.9632081985473633,0.9487903714179993,0.9951775074005127,5351.103515625,-351.103759765625,351.103759765625
19,235,12,ei,4.394001007080078,12,0.01235121488571167,0.9872452020645142,0.9818739295005798,0.9942251443862915,5139.0224609375,-139.022705078125,139.022705078125
20,249,12,ei,3.9476819038391113,12,0.01929938793182373,0.9625256657600403,0.9729442000389099,0.9922435879707336,5208.93359375,-208.93353271484375,208.93353271484375
21,50,13,ei,2.8977952003479004,13,0.055144667625427246,0.9420679211616516,0.9386671185493469,0.9938117861747742,5161.98388671875,-161.98382568359375,161.98382568359375
22,119,13,ei,6.4549055099487305,13,0.0015727877616882324,0.9916543960571289,0.9903074502944946,0.9918802380561829,5129.7509765625,-129.75115966796875,129.75115966796875
23,213,13,ei,3.7110908031463623,13,0.024450838565826416,0.9822704792022705,0.9594252705574036,0.98387610912323,5397.25,-397.249755859375,397.249755859375
24,64,14,ei,4.691116809844971,14,0.009176433086395264,0.9901909828186035,0.9861682057380676,0.9953446388244629,5231.8603515625,-231.86029052734375,231.86029052734375
25,150,14,ei,2.9079418182373047,14,0.0545879602432251,0.9567072987556458,0.939064621925354,0.9936525821685791,5120.0146484375,-120.014892578125,120.014892578125
26,184,14,ei,2.1984167098999023,14,0.11097872257232666,0.9046356678009033,0.8838268518447876,0.9948055744171143,5091.337890625,-91.337646484375,91.337646484375
27,224,14,ei,4.284407615661621,14,0.01378178596496582,0.9931858777999878,0.9791584014892578,0.9929401874542236,5020.91845703125,-20.91864013671875,20.91864013671875
28,231,14,ei,3.2635111808776855,14,0.038253843784332275,0.9673697352409363,0.9557285308837891,0.9939823746681213,5073.318359375,-73.318115234375,73.318115234375
29,39,15,ei,2.586460590362549,15,0.07528603076934814,0.9329070448875427,0.9198763370513916,0.9951623678207397,5285.3876953125,-285.3875427246094,285.3875427246094
30,60,15,ei,27.63102149963379,15,0.0,1.0,0.9921829700469971,0.9921829700469971,5294.2978515625,-294.2976379394531,294.2976379394531
31,168,15,ei,2.911679983139038,15,0.05438429117202759,0.9629863500595093,0.939605712890625,0.9939900040626526,5038.2724609375,-38.2723388671875,38.2723388671875
