episode_index,lane,step_count,method,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
0,76,7,random,7.6866865158081055,7,0.0004588961601257324,1.0,0.9940431118011475,0.9945020079612732,5441.4736328125,-441.4736328125,441.4736328125
1,162,8,random,27.63102149963379,8,0.0,0.9902932643890381,0.9957433342933655,0.9957433342933655,6901.962890625,-1901.962646484375,1901.962646484375
2,0,10,random,6.6920552253723145,10,0.0012407302856445312,1.0,0.9941076040267944,0.995348334312439,5282.08837890625,-282.0885009765625,282.0885009765625
3,3,10,random,5.643028259277344,10,0.0035421252250671387,0.9799089431762695,0.9902507662773132,0.9937928915023804,5048.34912109375,-48.349212646484375,48.349212646484375
4,59,10,random,4.572354793548584,10,0.010333597660064697,0.9757436513900757,0.9827694892883301,0.9931030869483948,5258.197265625,-258.1971435546875,258.1971435546875
5,174,10,random,3.7708003520965576,10,0.023033618927001953,0.964637041091919,0.9717757701873779,0.9948093891143799,7715.34228515625,-2715.34228515625,2715.34228515625
6,196,10,random,4.322086334228516,10,0.01327216625213623,0.984276294708252,0.9820724725723267,0.9953446388244629,5023.7392578125,-23.739471435546875,23.739471435546875
7,237,10,random,5.8578267097473145,10,0.0028574466705322266,0.9757611751556396,0.9854950904846191,0.9883525371551514,6078.33447265625,-1078.33447265625,1078.33447265625
8,221,11,random,3.1288676261901855,11,0.043767333030700684,0.9526662230491638,0.9508447051048279,0.9946120381355286,5713.57470703125,-713.57470703125,713.57470703125
9,53,12,random,4.9169840812683105,12,0.007321178913116455,0.9842689633369446,0.9876627922058105,0.994983971118927,5166.84716796875,-166.84722900390625,166.84722900390625
10,55,12,random,6.051577568054199,12,0.002354145050048828,1.0,0.9925539493560791,0.9949080944061279,5000.2568359375,-0.2570343017578125,0.2570343017578125
11,111,12,random,6.067451477050781,12,0.002317070960998535,1.0,0.9913468956947327,0.9936639666557312,5339.248046875,-339.2479248046875,339.2479248046875
