method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
newcritic_sample,results/convergence_audit/newcritic_trained_sample.csv,256,0.032618391909636515,0.0171793401241302,0.041345455398573525,0.0,0.2086832225322723,0.2734375,5328.470776557922,5229.5732421875,704.3959018588066,229.5732192993164,-328.47078400850296,-229.5732192993164,15.578125,14.0,0.7923807437764481,0.8118378221988678,0.7903201420558617,0.8131301403045654,0.8229385339654982,0.8303076922893524
newcritic_argmax,results/convergence_audit/newcritic_trained_argmax.csv,256,0.02306124998722222,0.0081402957439422,0.032201677983445684,0.0,0.2140051424503326,0.359375,5725.329337120056,5385.680419921875,947.9563752263784,385.6802673339844,-725.3293545097113,-385.6802673339844,14.43359375,12.0,0.7999484778847545,0.8230628073215485,0.7974752412410453,0.8229702711105347,0.8205364912282676,0.8374019861221313
old_sample,results/convergence_audit/noanneal_trained_sample.csv,256,0.03133754350710657,0.01629689335823055,0.038575699281107385,0.0,0.2003133296966552,0.296875,5276.533841133118,5152.51123046875,608.194857031107,152.5113067626953,-276.5338309109211,-152.5113067626953,16.203125,15.5,0.7919319135835394,0.8172947466373444,0.79003584489692,0.8237898051738739,0.8213733884040266,0.83749720454216
old_argmax,results/convergence_audit/noanneal_trained_argmax.csv,256,0.020141233224421712,0.0026244223117828,0.03182670103878189,0.0,0.1904202699661255,0.46875,5779.604070663452,5236.208740234375,992.5107779204845,236.208740234375,-779.6040625274181,-236.208740234375,14.546875,11.0,0.8075080872513354,0.826624184846878,0.8061836650595069,0.822733461856842,0.8263248982839286,0.8328625857830048
random,results/convergence_audit/random_epi32.csv,256,0.03077610256150361,0.0174017250537872,0.03746593239940345,0.0,0.2240296006202697,0.30078125,5393.024369239807,5209.393310546875,739.9052120000124,209.39343261718747,-393.02437813580036,-209.39343261718747,16.0703125,16.0,0.7921851761639118,0.8163252770900726,0.7890302042942494,0.801959216594696,0.8198063068557531,0.8382978737354279
untrained_argmax,results/convergence_audit/cost_mean_untrained_argmax.csv,256,0.05103381560184059,0.0181702673435211,0.08310405389350733,0.0,0.475388765335083,0.32421875,5730.163237571716,5301.888427734375,890.9431777000427,301.8884582519531,-730.16323402524,-301.8884582519531,13.703125,10.0,0.7701291741104797,0.828088104724884,0.7694648989709094,0.8290302753448486,0.8204987146891654,0.8437640070915222
