method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
seed1_sample_524k,results/convergence_audit/longrun_sample_step_524288.csv,256,0.02998229092918333,0.01043459773063655,0.042364288374749384,0.0,0.2834676504135132,0.34375,5272.8318157196045,5191.239990234375,606.8341992795467,191.24002075195312,-272.83181695640087,-191.24002075195312,16.08203125,15.0,0.7978020897135139,0.8194938600063324,0.7951113812159747,0.8121224641799927,0.825093672145158,0.8402299880981445
seed2_sample_524k,results/convergence_audit/seed2_sample_step_524288.csv,256,0.031791279790922965,0.01595121622085565,0.04009284361440206,0.0,0.2929921746253967,0.2890625,5223.772668838501,5137.93994140625,553.708488881588,137.93995666503906,-223.77267090976238,-137.93995666503906,15.83203125,15.0,0.7966466789366677,0.8238918483257294,0.7935181451030076,0.8205694854259491,0.8253094248939306,0.8414113819599152
seed3_sample_524k,results/convergence_audit/seed3_sample_step_524288.csv,256,0.030952088069170686,0.014777064323425251,0.041035636266055664,0.0,0.2299117445945739,0.35546875,5275.356883049011,5184.358154296875,625.8371231108904,184.35818481445312,-275.35686971247196,-184.35818481445312,15.6015625,14.0,0.7956819924293086,0.8226483166217804,0.7929280921816826,0.8164200186729431,0.8238801802508533,0.8403608500957489
random,results/convergence_audit/random_epi32.csv,256,0.03077610256150361,0.0174017250537872,0.03746593239940345,0.0,0.2240296006202697,0.30078125,5393.024369239807,5209.393310546875,739.9052120000124,209.39343261718747,-393.02437813580036,-209.39343261718747,16.0703125,16.0,0.7921851761639118,0.8163252770900726,0.7890302042942494,0.801959216594696,0.8198063068557531,0.8382978737354279
