instance,episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
189354,0,32,2,sample,0.07625236362218857,2,0.12161064147949219,0.6323950290679932,0.6187158823013306,0.7403265237808228,5386.796875,-386.796875,386.796875
168908,1,84,2,sample,0.11545509845018387,2,0.04116600751876831,0.7384669184684753,0.7592689990997314,0.8004350066184998,5071.0556640625,-71.0556640625,71.0556640625
189354,2,132,2,sample,0.08151882886886597,2,0.10514146089553833,0.6076232194900513,0.6045066714286804,0.7096481323242188,6249.9990234375,-1249.9990234375,1249.9990234375
168908,3,159,2,sample,0.09430261701345444,2,0.07385307550430298,0.7869574427604675,0.7701247334480286,0.8439778089523315,5582.529296875,-582.529052734375,582.529052734375
168908,4,172,2,sample,1.0,2,0.0,0.7959381341934204,0.7898673415184021,0.7898673415184021,5144.6181640625,-144.617919921875,144.617919921875
168908,5,177,2,sample,0.14545667171478271,2,0.017968833446502686,0.8026374578475952,0.8012354373931885,0.8192042708396912,5909.900390625,-909.900634765625,909.900634765625
168908,6,205,2,sample,0.13067232072353363,2,0.02703535556793213,0.7925418019294739,0.773582935333252,0.8006182909011841,6146.1669921875,-1146.167236328125,1146.167236328125
168908,7,31,3,sample,0.12400026619434357,3,0.0325084924697876,0.7780245542526245,0.775048017501831,0.8075565099716187,6121.4951171875,-1121.4951171875,1121.4951171875
168908,8,33,3,sample,0.089076466858387,3,0.0853261947631836,0.7356956005096436,0.7328943014144897,0.8182204961776733,6808.16015625,-1808.16015625,1808.16015625
168908,9,72,3,sample,0.1093578115105629,3,0.04871988296508789,0.7681033611297607,0.7571041584014893,0.8058240413665771,7642.13720703125,-2642.13720703125,2642.13720703125
168908,10,74,3,sample,0.1216626763343811,3,0.03467750549316406,0.7678040862083435,0.763023316860199,0.797700822353363,6612.69580078125,-1612.6956787109375,1612.6956787109375
189354,11,125,3,sample,0.10799039900302887,3,0.050595879554748535,0.6706221103668213,0.6744055151939392,0.7250013947486877,8031.32861328125,-3031.32861328125,3031.32861328125
168908,12,138,3,sample,0.09062513709068298,3,0.0817520022392273,0.7371013760566711,0.7339659333229065,0.8157179355621338,6678.6015625,-1678.601318359375,1678.601318359375
168908,13,141,3,sample,0.09287093579769135,3,0.07683318853378296,0.7313101887702942,0.7299813032150269,0.8068144917488098,6308.912109375,-1308.911865234375,1308.911865234375
168908,14,149,3,sample,0.08961805701255798,3,0.08405882120132446,0.7317013740539551,0.733157217502594,0.8172160387039185,5353.11767578125,-353.11767578125,353.11767578125
168908,15,151,3,sample,0.07884091138839722,3,0.1132163405418396,0.729412317276001,0.7221803069114685,0.8353966474533081,7092.1787109375,-2092.178955078125,2092.178955078125
189354,16,178,3,sample,0.11448031663894653,3,0.0422898530960083,0.6714445948600769,0.684597373008728,0.7268872261047363,5773.88525390625,-773.8853759765625,773.8853759765625
168908,17,180,3,sample,1.0,3,0.0,0.8328105211257935,0.8200234174728394,0.8200234174728394,7586.791015625,-2586.790771484375,2586.790771484375
168908,18,182,3,sample,0.17115426063537598,3,0.008833825588226318,0.8198572993278503,0.81041419506073,0.8192480206489563,6507.931640625,-1507.931884765625,1507.931884765625
168908,19,194,3,sample,0.08965776115655899,3,0.08396667242050171,0.7334147691726685,0.7373559474945068,0.8213226199150085,5905.5908203125,-905.590576171875,905.590576171875
168908,20,199,3,sample,0.158221036195755,3,0.012628376483917236,0.7996101975440979,0.810089647769928,0.8227180242538452,5354.0185546875,-354.018798828125,354.018798828125
168908,21,212,3,sample,0.08621380478143692,3,0.09234946966171265,0.7278409004211426,0.7248354554176331,0.8171849250793457,5903.57958984375,-903.5794677734375,903.5794677734375
168908,22,253,3,sample,0.10103603452444077,3,0.06131511926651001,0.7335523366928101,0.7494391798973083,0.8107542991638184,6363.72412109375,-1363.72412109375,1363.72412109375
168908,23,254,3,sample,1.0,3,0.0,0.8013479113578796,0.8182361125946045,0.8182361125946045,5895.9892578125,-895.9893798828125,895.9893798828125
168908,24,8,4,sample,0.12684309482574463,4,0.030052661895751953,0.7695637345314026,0.7883426547050476,0.8183953166007996,6609.48828125,-1609.488525390625,1609.488525390625
168908,25,17,4,sample,0.09611106663942337,4,0.07025337219238281,0.7228476405143738,0.7306764125823975,0.8009297847747803,6271.14404296875,-1271.14404296875,1271.14404296875
168908,26,28,4,sample,0.09101147949695587,4,0.0808839201927185,0.716982901096344,0.7222946882247925,0.803178608417511,5480.87646484375,-480.8765869140625,480.8765869140625
168908,27,32,4,sample,0.0834900364279747,2,0.0995679497718811,0.7129166126251221,0.720599353313446,0.8201673030853271,5718.134765625,-718.134521484375,718.134521484375
168908,28,34,4,sample,0.08314566314220428,4,0.10051989555358887,0.7479385733604431,0.7366249561309814,0.8371448516845703,5451.77685546875,-451.77685546875,451.77685546875
168908,29,52,4,sample,0.09258554130792618,4,0.07744145393371582,0.7373383641242981,0.7407446503639221,0.8181861042976379,5746.28466796875,-746.28466796875,746.28466796875
189354,30,57,4,sample,0.08655083924531937,4,0.09149342775344849,0.6570255160331726,0.6608947515487671,0.7523881793022156,9467.8671875,-4467.8671875,4467.8671875
168908,31,75,4,sample,0.13519985973834991,4,0.02385622262954712,0.781475305557251,0.7712713479995728,0.7951275706291199,8274.4990234375,-3274.499267578125,3274.499267578125
189354,32,78,4,sample,0.06385268270969391,4,0.1713041067123413,0.6687717437744141,0.6410879492759705,0.8123920559883118,5217.44970703125,-217.4498291015625,217.4498291015625
189354,33,88,4,sample,1.0,4,0.0,0.7364334464073181,0.7425100207328796,0.7425100207328796,5535.1259765625,-535.125732421875,535.125732421875
168908,34,111,4,sample,0.08960364013910294,4,0.08409231901168823,0.7409852743148804,0.7500783801078796,0.8341706991195679,5822.462890625,-822.463134765625,822.463134765625
168908,35,134,4,sample,0.15983575582504272,4,0.01207733154296875,0.7709004878997803,0.7738751173019409,0.7859524488449097,5585.9501953125,-585.9500732421875,585.9500732421875
189354,36,216,4,sample,0.0903751403093338,4,0.08231866359710693,0.6138530969619751,0.6239765882492065,0.7062952518463135,7943.65625,-2943.65625,2943.65625
168908,37,221,4,sample,0.08168552815914154,4,0.10465830564498901,0.7263466119766235,0.7455626130104065,0.8502209186553955,7702.4326171875,-2702.432861328125,2702.432861328125
189354,38,232,4,sample,0.10958255082368851,4,0.048418283462524414,0.6243099570274353,0.6375699043273926,0.685988187789917,5497.2783203125,-497.2784423828125,497.2784423828125
168908,39,236,4,sample,0.13480354845523834,4,0.024118900299072266,0.772972822189331,0.7737127542495728,0.797831654548645,6492.763671875,-1492.763427734375,1492.763427734375
168908,40,25,5,sample,0.10044211149215698,5,0.062329649925231934,0.7421079874038696,0.7399242520332336,0.8022539019584656,5072.251953125,-72.252197265625,72.252197265625
189354,41,77,5,sample,0.16298024356365204,5,0.011072278022766113,0.7031075358390808,0.6992366313934326,0.7103089094161987,6638.755859375,-1638.7559814453125,1638.7559814453125
189354,42,94,5,sample,0.06626711040735245,5,0.1602487564086914,0.6237847805023193,0.6143765449523926,0.774625301361084,5104.26904296875,-104.26904296875,104.26904296875
189354,43,197,5,sample,0.08805132657289505,5,0.08777767419815063,0.6719727516174316,0.6779573559761047,0.7657350301742554,6457.16943359375,-1457.16943359375,1457.16943359375
189354,44,203,5,sample,1.0,5,0.0,0.7339681386947632,0.7340540885925293,0.7340540885925293,9211.15625,-4211.15625,4211.15625
189354,45,214,5,sample,0.16080911457538605,5,0.011756837368011475,0.6903502345085144,0.6813888549804688,0.6931456923484802,7695.5048828125,-2695.5048828125,2695.5048828125
189354,46,217,5,sample,0.11112823337316513,5,0.04639393091201782,0.6714954376220703,0.6629185676574707,0.7093124985694885,5061.80615234375,-61.80609130859375,61.80609130859375
189354,47,225,5,sample,0.09720121324062347,5,0.0681687593460083,0.6627305746078491,0.6627112030982971,0.7308799624443054,11808.2724609375,-6808.2724609375,6808.2724609375
189354,48,19,6,sample,0.1324029266834259,6,0.02577298879623413,0.6870688199996948,0.690598726272583,0.7163717150688171,7442.45654296875,-2442.45654296875,2442.45654296875
189354,49,96,6,sample,1.0,6,0.0,0.7505775690078735,0.7407022714614868,0.7407022714614868,7263.291015625,-2263.291015625,2263.291015625
189354,50,115,6,sample,0.1232808530330658,6,0.033161163330078125,0.6649287939071655,0.6624824404716492,0.6956436038017273,6553.99169921875,-1553.99169921875,1553.99169921875
189354,51,189,6,sample,1.0,6,0.0,0.7206999659538269,0.7186791300773621,0.7186791300773621,7844.703125,-2844.703369140625,2844.703369140625
189354,52,239,6,sample,0.14133888483047485,6,0.020134150981903076,0.6659867763519287,0.6624723076820374,0.6826064586639404,7769.97998046875,-2769.97998046875,2769.97998046875
189354,53,56,7,sample,0.12599925696849823,7,0.03076159954071045,0.6942631602287292,0.6832733750343323,0.7140349745750427,9424.546875,-4424.546875,4424.546875
189354,54,92,7,sample,0.06773853302001953,7,0.15386420488357544,0.6337916851043701,0.6273609399795532,0.7812251448631287,7852.40283203125,-2852.40283203125,2852.40283203125
189354,55,195,7,sample,1.0,7,0.0,0.6939733028411865,0.7073143720626831,0.7073143720626831,5187.9599609375,-187.9600830078125,187.9600830078125
168335,56,208,7,sample,0.11158538609743118,7,0.045811593532562256,0.8866255879402161,0.8932530283927917,0.939064621925354,16469.4375,-11469.4365234375,11469.4365234375
189354,57,32,8,sample,0.121747687458992,4,0.034596145153045654,0.6657305955886841,0.6709208488464355,0.7055169939994812,6636.2509765625,-1636.2509765625,1636.2509765625
