method,file,n_episodes,mean_regret,median_regret,std_regret,min_regret,max_regret,success_rate,mean_budget_used,median_budget_used,mean_budget_overshoot,median_budget_overshoot,mean_remaining_budget,median_remaining_budget,mean_episode_length,median_episode_length,mean_best_value,median_best_value,mean_best_oracle_value,median_best_oracle_value,mean_ground_truth,median_ground_truth
ent001_sample_262k,results/convergence_audit/ent001_sample_step_262144.csv,256,0.030621619429439275,0.01301541924476615,0.04074737593581027,0.0,0.2498582899570465,0.328125,5424.272190093994,5214.477783203125,792.1078236103058,214.4779052734375,-424.27219673991203,-214.4779052734375,15.859375,14.0,0.7954622014658526,0.8138200640678406,0.7930994150228798,0.8132990598678589,0.8237210344523191,0.833670973777771
ent001_sample_524k,results/convergence_audit/ent001_sample_step_524288.csv,256,0.02928328863345083,0.01612469553947445,0.03594104782119342,0.0,0.2239872813224792,0.2890625,5332.927379608154,5168.967041015625,705.648472905159,168.96714782714844,-332.9273950457573,-168.96714782714844,15.82421875,15.0,0.7945297769038007,0.808974415063858,0.7912762521300465,0.813553512096405,0.8205595407634974,0.8361586928367615
ent001_sample_786k,results/convergence_audit/ent001_sample_step_786432.csv,256,0.035195956123061437,0.0239866375923156,0.04099934936842472,0.0,0.2379592657089233,0.24609375,5280.393114089966,5205.614501953125,636.8377359807491,205.61465454101562,-280.39310893416405,-205.61465454101562,15.6640625,14.0,0.7909811937715858,0.8039409518241882,0.787915609893389,0.805689126253128,0.8231115660164505,0.8364378809928894
ent001_sample_1048k,results/convergence_audit/ent001_sample_step_1048576.csv,256,0.031784153892658616,0.014819830656051601,0.03933595419778063,0.0,0.1825715899467468,0.26953125,5329.588515281677,5151.874267578125,661.5345999002457,151.87417602539062,-329.58853128552437,-151.87417602539062,15.734375,15.0,0.7921830634586513,0.808713287115097,0.7892665633698925,0.8055151998996735,0.8210507172625512,0.8402210474014282
ent001_argmax_262k,results/convergence_audit/ent001_argmax_step_262144.csv,256,0.019373578485101437,0.0033541023731231,0.029213143620891356,0.0,0.166869968175888,0.453125,5696.2375955581665,5238.248779296875,934.5674441158772,238.2487106323242,-696.2375972568989,-238.2487106323242,14.6015625,11.0,0.8066202370682731,0.8266907930374146,0.8044517675880343,0.8229991793632507,0.8238253460731357,0.8338823914527893
ent001_argmax_524k,results/convergence_audit/ent001_argmax_step_524288.csv,256,0.01845098228659478,0.0026771128177642,0.030668591284107666,0.0,0.1813864111900329,0.453125,5486.400952339172,5233.82421875,765.6118369102478,233.82421875,-486.40095353126526,-233.82421875,14.69140625,12.0,0.8048295408952981,0.8201651871204376,0.8026475257938728,0.8184346556663513,0.8210985080804676,0.8349244892597198
ent001_argmax_786k,results/convergence_audit/ent001_argmax_step_786432.csv,256,0.018227353459224077,0.00236463546752925,0.027979771613399613,0.0,0.1419695615768432,0.46484375,5702.864873886108,5236.861083984375,963.6545273959637,236.86104583740234,-702.8648808300495,-236.86104583740234,14.734375,12.0,0.8074293602257967,0.8294676840305328,0.8044932507909834,0.8277011811733246,0.8227206042502075,0.8337234556674957
ent001_argmax_1048k,results/convergence_audit/ent001_argmax_step_1048576.csv,256,0.020013334928080412,0.00410729646682735,0.028927623882509516,0.0,0.161264419555664,0.41796875,5675.319033622742,5213.798095703125,941.6301049590111,213.7981719970703,-675.3190308213234,-213.7981719970703,15.1171875,12.0,0.8048468966735527,0.8269648253917694,0.8037287543993443,0.821487307548523,0.8237420893274248,0.8386440277099609
random,results/convergence_audit/random_epi32.csv,256,0.03077610256150361,0.0174017250537872,0.03746593239940345,0.0,0.2240296006202697,0.30078125,5393.024369239807,5209.393310546875,739.9052120000124,209.39343261718747,-393.02437813580036,-209.39343261718747,16.0703125,16.0,0.7921851761639118,0.8163252770900726,0.7890302042942494,0.801959216594696,0.8198063068557531,0.8382978737354279
