instance,episode_index,lane,step_count,action_mode,return,episode_length,regret,best_value,best_oracle_value,ground_truth,budget_used,remaining_budget,budget_overshoot
189354,0,43,1,argmax,0.10468166321516037,1,0.05543959140777588,0.6459910273551941,0.6545794606208801,0.710019052028656,5338.7138671875,-338.7138671875,338.7138671875
189354,1,154,1,argmax,0.09470099210739136,1,0.07304459810256958,0.710000216960907,0.7090825438499451,0.7821271419525146,8760.3330078125,-3760.3330078125,3760.3330078125
168908,2,28,2,argmax,0.13182808458805084,2,0.02618563175201416,0.8108580708503723,0.8085675835609436,0.8347532153129578,5571.4462890625,-571.446044921875,571.446044921875
168908,3,31,2,argmax,1.0,2,0.0,0.834960401058197,0.8328606486320496,0.8328606486320496,6047.1162109375,-1047.116455078125,1047.116455078125
168908,4,34,2,argmax,0.08784174919128418,2,0.08828747272491455,0.7359727621078491,0.7270758152008057,0.8153632879257202,5969.2353515625,-969.2353515625,969.2353515625
189354,5,94,2,argmax,0.2314673513174057,2,0.0016687512397766113,0.6996822953224182,0.7018635272979736,0.7035322785377502,5725.2177734375,-725.2177734375,725.2177734375
168908,6,138,2,argmax,0.0941082313656807,2,0.07425081729888916,0.727388858795166,0.7270702123641968,0.8013210296630859,5351.1572265625,-351.1572265625,351.1572265625
168331,7,152,2,argmax,0.0634734183549881,2,0.17310872673988342,0.43314340710639954,0.42716744542121887,0.6002761721611023,5526.5673828125,-526.5673828125,526.5673828125
168908,8,199,2,argmax,0.11977238953113556,2,0.03653687238693237,0.7749881148338318,0.7923902869224548,0.8289271593093872,5665.57958984375,-665.57958984375,665.57958984375
168908,9,205,2,argmax,1.0,2,0.0,0.8086605668067932,0.8043743968009949,0.8043743968009949,5943.3427734375,-943.3427734375,943.3427734375
168908,10,212,2,argmax,0.10835053771734238,2,0.05009490251541138,0.7567170262336731,0.7513269782066345,0.8014218807220459,6488.060546875,-1488.060546875,1488.060546875
168908,11,236,2,argmax,0.1928252875804901,2,0.004853963851928711,0.7841211557388306,0.7933521270751953,0.798206090927124,5990.3046875,-990.304443359375,990.304443359375
168908,12,253,2,argmax,0.08904945850372314,2,0.08538991212844849,0.7419755458831787,0.7315954566001892,0.8169853687286377,6698.2412109375,-1698.240966796875,1698.240966796875
168908,13,25,3,argmax,0.09712168574333191,3,0.06831872463226318,0.7374372482299805,0.7307099103927612,0.7990286350250244,7274.798828125,-2274.798828125,2274.798828125
168908,14,33,3,argmax,0.10261979699134827,3,0.058689773082733154,0.7358611226081848,0.742466151714325,0.8011559247970581,6240.7568359375,-1240.757080078125,1240.757080078125
168908,15,72,3,argmax,0.1052999421954155,3,0.0545005202293396,0.764870822429657,0.7670477032661438,0.8215482234954834,6462.36474609375,-1462.36474609375,1462.36474609375
189354,16,77,3,argmax,0.11130321025848389,3,0.046170175075531006,0.646350622177124,0.6514159440994263,0.6975861191749573,8235.8671875,-3235.867431640625,3235.867431640625
168908,17,84,3,argmax,0.0932932049036026,3,0.07594192028045654,0.743211567401886,0.7397915720939636,0.8157334923744202,6332.533203125,-1332.532958984375,1332.532958984375
168908,18,89,3,argmax,0.11930789053440094,3,0.037008821964263916,0.7969791293144226,0.7937607765197754,0.8307695984840393,5004.17529296875,-4.17529296875,4.17529296875
168908,19,99,3,argmax,0.10043006390333176,3,0.06235039234161377,0.7815004587173462,0.759009838104248,0.8213602304458618,6860.953125,-1860.953369140625,1860.953369140625
168908,20,111,3,argmax,0.1441769003868103,3,0.01861560344696045,0.8037304878234863,0.7921665906906128,0.8107821941375732,5232.1435546875,-232.1435546875,232.1435546875
168908,21,149,3,argmax,1.0,3,0.0,0.8634726405143738,0.8475170135498047,0.8475170135498047,6285.9716796875,-1285.971435546875,1285.971435546875
168908,22,159,3,argmax,0.11684009432792664,3,0.039620399475097656,0.8023759722709656,0.797585129737854,0.8372055292129517,7346.80517578125,-2346.80517578125,2346.80517578125
168908,23,177,3,argmax,0.13373936712741852,3,0.024838626384735107,0.769161581993103,0.7564863562583923,0.7813249826431274,6286.30322265625,-1286.3033447265625,1286.3033447265625
168335,24,201,3,argmax,0.10379040241241455,3,0.05682182312011719,0.8899832963943481,0.891925036907196,0.9487468600273132,5755.82421875,-755.82421875,755.82421875
168908,25,254,3,argmax,0.10922085493803024,3,0.048904597759246826,0.7580106854438782,0.7568702697753906,0.8057748675346375,5721.169921875,-721.170166015625,721.170166015625
168908,26,17,4,argmax,0.14161831140518188,4,0.01997929811477661,0.7883719205856323,0.7866228222846985,0.8066021203994751,6444.28173828125,-1444.28173828125,1444.28173828125
168908,27,45,4,argmax,0.10297583043575287,4,0.058115243911743164,0.7664961814880371,0.7587579488754272,0.8168731927871704,6273.77001953125,-1273.7698974609375,1273.7698974609375
189354,28,56,4,argmax,0.09576663374900818,4,0.07092517614364624,0.6647005081176758,0.6657124161720276,0.7366375923156738,14193.248046875,-9193.248046875,9193.248046875
168908,29,75,4,argmax,0.09523336589336395,4,0.07197797298431396,0.7318897247314453,0.7400949597358704,0.8120729327201843,5371.4912109375,-371.4913330078125,371.4913330078125
168335,30,77,4,argmax,0.09605780243873596,1,0.07035684585571289,0.8454216718673706,0.8365095257759094,0.9068663716316223,7659.0625,-2659.0625,2659.0625
189354,31,92,4,argmax,0.15025801956653595,4,0.01573634147644043,0.6820831894874573,0.6828590631484985,0.698595404624939,11396.400390625,-6396.400390625,6396.400390625
189354,32,125,4,argmax,0.09665025770664215,4,0.06921446323394775,0.5981069803237915,0.5995255708694458,0.6687400341033936,5795.2724609375,-795.2725830078125,795.2725830078125
168908,33,134,4,argmax,0.23818986117839813,4,0.0013858675956726074,0.7949804663658142,0.7942726016044617,0.7956584692001343,6211.84716796875,-1211.8470458984375,1211.8470458984375
168908,34,141,4,argmax,0.13482259213924408,4,0.024106204509735107,0.8155843615531921,0.8109399676322937,0.8350461721420288,7247.96875,-2247.968994140625,2247.968994140625
168908,35,180,4,argmax,0.3508499562740326,4,6.16312026977539e-05,0.7946211695671082,0.8083301782608032,0.808391809463501,7037.7822265625,-2037.7822265625,2037.7822265625
168908,36,194,4,argmax,0.11997368186712265,4,0.036334216594696045,0.7786348462104797,0.7799938321113586,0.8163280487060547,6362.4638671875,-1362.4637451171875,1362.4637451171875
168335,37,1,5,argmax,0.0846850648522377,5,0.09633392095565796,0.8415879011154175,0.8469385504722595,0.9432724714279175,5391.79638671875,-391.79656982421875,391.79656982421875
168908,38,8,5,argmax,0.1514958143234253,5,0.015207231044769287,0.786310076713562,0.784806489944458,0.8000137209892273,6011.2998046875,-1011.2999267578125,1011.2999267578125
168908,39,25,5,argmax,0.12762761116027832,2,0.02940821647644043,0.8017610907554626,0.7932250499725342,0.8226332664489746,6142.5361328125,-1142.535888671875,1142.535888671875
189354,40,32,5,argmax,0.101889468729496,5,0.059886157512664795,0.6466531753540039,0.6329740285873413,0.6928601861000061,10381.888671875,-5381.888671875,5381.888671875
168908,41,52,5,argmax,0.20843732357025146,5,0.003153204917907715,0.7887406349182129,0.7947605848312378,0.7979137897491455,6963.033203125,-1963.0333251953125,1963.0333251953125
189354,42,57,5,argmax,0.1070798859000206,5,0.05188494920730591,0.68663489818573,0.6885771751403809,0.7404621243476868,6545.26904296875,-1545.26904296875,1545.26904296875
189354,43,111,5,argmax,0.08519800007343292,2,0.0949782133102417,0.6440401077270508,0.6491239070892334,0.7441021203994751,9587.05078125,-4587.05078125,4587.05078125
189354,44,132,5,argmax,0.13582783937454224,5,0.023445844650268555,0.7018108367919922,0.7050972580909729,0.7285431027412415,5007.4775390625,-7.4774169921875,7.4774169921875
168908,45,151,5,argmax,0.0830436572432518,5,0.10080361366271973,0.7273080945014954,0.735501766204834,0.8363053798675537,7584.48974609375,-2584.48974609375,2584.48974609375
168908,46,182,5,argmax,0.12206533551216125,5,0.03429383039474487,0.8111719489097595,0.8081142902374268,0.8424081206321716,7400.1337890625,-2400.134033203125,2400.134033203125
189354,47,197,5,argmax,0.09588657319545746,5,0.07069051265716553,0.6708379983901978,0.6670902371406555,0.737780749797821,8008.99169921875,-3008.99169921875,3008.99169921875
189354,48,214,5,argmax,0.12394198030233383,5,0.032560884952545166,0.6768545508384705,0.6710425019264221,0.7036033868789673,6370.0556640625,-1370.055419921875,1370.055419921875
189354,49,232,5,argmax,1.0,5,0.0,0.7189501523971558,0.719357967376709,0.719357967376709,11628.3310546875,-6628.3310546875,6628.3310546875
189354,50,239,5,argmax,0.1227373480796814,5,0.03366291522979736,0.6646460890769958,0.6619886159896851,0.6956515312194824,5169.6923828125,-169.69229125976562,169.69229125976562
189354,51,19,6,argmax,0.09509448707103729,6,0.0722547173500061,0.6065288186073303,0.6081043481826782,0.6803590655326843,6606.5703125,-1606.570068359375,1606.570068359375
189354,52,78,6,argmax,0.12483835965394974,6,0.031764328479766846,0.6650338172912598,0.6745753288269043,0.7063396573066711,5420.93115234375,-420.93115234375,420.93115234375
168331,53,86,6,argmax,0.10454189777374268,6,0.05565410852432251,0.5156012773513794,0.5177893042564392,0.5734434127807617,5395.9130859375,-395.913330078125,395.913330078125
189354,54,96,6,argmax,0.12484290450811386,6,0.031760334968566895,0.686410665512085,0.6976726651191711,0.729433000087738,5124.6650390625,-124.66497802734375,124.66497802734375
189354,55,99,6,argmax,0.13112816214561462,3,0.026696979999542236,0.6748431324958801,0.678968071937561,0.7056650519371033,8445.966796875,-3445.966796875,3445.966796875
168335,56,111,6,argmax,0.09202390164136887,1,0.07865262031555176,0.8739150166511536,0.8649221062660217,0.9435747265815735,5951.861328125,-951.861328125,951.861328125
168910,57,112,6,argmax,0.11127247661352158,6,0.04620939493179321,0.6360448598861694,0.6352054476737976,0.6814148426055908,5085.85400390625,-85.8538589477539,85.8538589477539
168910,58,123,6,argmax,0.1509637087583542,6,0.015432476997375488,0.6681869029998779,0.685692548751831,0.7011250257492065,5400.90625,-400.906494140625,400.906494140625
168868,59,169,6,argmax,0.1973985731601715,6,0.00427776575088501,0.9915163516998291,0.9902470111846924,0.9945247769355774,6627.9267578125,-1627.9267578125,1627.9267578125
189354,60,178,6,argmax,0.15598082542419434,6,0.013434767723083496,0.6821886301040649,0.6789524555206299,0.6923872232437134,5579.47705078125,-579.4768676757812,579.4768676757812
189354,61,189,6,argmax,0.10195165127515793,6,0.059783339500427246,0.6520001292228699,0.6374702453613281,0.6972535848617554,7626.48876953125,-2626.48876953125,2626.48876953125
168910,62,191,6,argmax,0.10151444375514984,6,0.06050992012023926,0.6431853771209717,0.6434289813041687,0.703938901424408,6002.453125,-1002.453369140625,1002.453369140625
189354,63,195,6,argmax,0.11113441735506058,6,0.046386003494262695,0.6982663869857788,0.6898878216743469,0.7362738251686096,5018.46875,-18.4688720703125,18.4688720703125
189354,64,203,6,argmax,0.2167108803987503,6,0.002508819103240967,0.6893010139465332,0.6816761493682861,0.6841849684715271,5830.84814453125,-830.8482055664062,830.8482055664062
168335,65,208,6,argmax,0.10086867958307266,6,0.06159931421279907,0.8672872185707092,0.8798003196716309,0.9413996338844299,8885.53125,-3885.53173828125,3885.53173828125
189354,66,218,6,argmax,0.1331339180469513,6,0.025257647037506104,0.6809302568435669,0.6669248938560486,0.6921825408935547,6649.0107421875,-1649.010986328125,1649.010986328125
189354,67,225,6,argmax,0.12501835823059082,6,0.03160673379898071,0.6673670411109924,0.6702340841293335,0.7018408179283142,6260.70751953125,-1260.70751953125,1260.70751953125
168910,68,2,7,argmax,0.16778837144374847,7,0.009694814682006836,0.6661522388458252,0.6670597195625305,0.6767545342445374,5445.0302734375,-445.03033447265625,445.03033447265625
168910,69,36,7,argmax,0.12127743661403656,7,0.035048604011535645,0.6308943629264832,0.6395588517189026,0.6746074557304382,5658.9755859375,-658.9756469726562,658.9756469726562
189354,70,63,7,argmax,0.09742162376642227,7,0.06775486469268799,0.6517521739006042,0.6507652401924133,0.7185201048851013,5098.65966796875,-98.6595458984375,98.6595458984375
168331,71,73,7,argmax,0.05579797923564911,7,0.21400514245033264,0.49995914101600647,0.49502602219581604,0.7090311646461487,8702.9150390625,-3702.9150390625,3702.9150390625
189354,72,88,7,argmax,0.21977880597114563,7,0.0023049116134643555,0.6973263621330261,0.7046965956687927,0.7070015072822571,5341.88037109375,-341.8804931640625,341.8804931640625
189354,73,115,7,argmax,1.0,7,0.0,0.7208924889564514,0.725521445274353,0.725521445274353,6999.67578125,-1999.67578125,1999.67578125
189354,74,151,7,argmax,1.0,2,0.0,0.7531673312187195,0.7574811577796936,0.7574811577796936,11425.57421875,-6425.57373046875,6425.57373046875
189354,75,216,7,argmax,0.13621728122234344,7,0.02319490909576416,0.7344528436660767,0.7153066992759705,0.7385016083717346,5472.7705078125,-472.77069091796875,472.77069091796875
189354,76,217,7,argmax,1.0,7,0.0,0.7079600095748901,0.7024314403533936,0.7024314403533936,10268.40625,-5268.40673828125,5268.40673828125
168910,77,220,7,argmax,1.0,7,0.0,0.7319434285163879,0.7212910652160645,0.7212910652160645,5526.119140625,-526.1192626953125,526.1192626953125
168335,78,60,8,argmax,0.11313674598932266,8,0.04388934373855591,0.8694542646408081,0.8833785057067871,0.927267849445343,5814.19873046875,-814.1986083984375,814.1986083984375
168910,79,103,8,argmax,1.0,8,0.0,0.7087569236755371,0.7135012745857239,0.7135012745857239,5443.224609375,-443.22479248046875,443.22479248046875
168910,80,157,8,argmax,1.0,8,0.0,0.7106882929801941,0.7046401500701904,0.7046401500701904,5216.65966796875,-216.65985107421875,216.65985107421875
168910,81,200,8,argmax,1.0,8,0.0,0.6833009719848633,0.6776858568191528,0.6776858568191528,5042.162109375,-42.16223907470703,42.16223907470703
168910,82,213,8,argmax,0.17858798801898956,8,0.007193565368652344,0.6891360878944397,0.677183210849762,0.6843767762184143,5353.6748046875,-353.6746826171875,353.6746826171875
168910,83,243,8,argmax,1.0,8,0.0,0.705071210861206,0.6926223039627075,0.6926223039627075,5581.24951171875,-581.24951171875,581.24951171875
168331,84,11,9,argmax,0.09053581953048706,9,0.0819540023803711,0.5294000506401062,0.5288413763046265,0.6107953786849976,8835.6728515625,-3835.673095703125,3835.673095703125
168335,85,34,9,argmax,0.10069083422422409,7,0.061902761459350586,0.8846362233161926,0.8772801160812378,0.9391828775405884,6726.1953125,-1726.195068359375,1726.195068359375
168910,86,41,9,argmax,1.0,9,0.0,0.6704595685005188,0.6826207637786865,0.6826207637786865,5581.8046875,-581.8045654296875,581.8045654296875
168335,87,86,9,argmax,1.0,3,0.0,0.9486594796180725,0.9656194448471069,0.9656194448471069,10105.66015625,-5105.66064453125,5105.66064453125
168335,88,106,9,argmax,1.0,9,0.0,0.9389354586601257,0.9440932273864746,0.9440932273864746,11265.931640625,-6265.931640625,6265.931640625
168910,89,110,9,argmax,0.11718110740184784,9,0.03924882411956787,0.6578236818313599,0.6530618071556091,0.692310631275177,5496.224609375,-496.22442626953125,496.22442626953125
168910,90,116,9,argmax,0.13472187519073486,9,0.024173378944396973,0.6389988660812378,0.6414768695831299,0.6656502485275269,5488.74169921875,-488.7418212890625,488.7418212890625
168910,91,130,9,argmax,0.1272108107805252,9,0.029748857021331787,0.6704943180084229,0.6737806797027588,0.7035295367240906,5087.4482421875,-87.44828796386719,87.44828796386719
168910,92,165,9,argmax,0.11893641203641891,9,0.03739064931869507,0.64731764793396,0.6389200091362,0.676310658454895,5537.3935546875,-537.393798828125,537.393798828125
168910,93,186,9,argmax,0.12335678189992905,9,0.03309166431427002,0.6361570358276367,0.6406735777854919,0.673765242099762,5327.98876953125,-327.98876953125,327.98876953125
168868,94,193,9,argmax,0.22738276422023773,9,0.001868128776550293,1.0,0.992440402507782,0.9943085312843323,5731.0810546875,-731.0810546875,731.0810546875
189354,95,194,9,argmax,0.09223291277885437,1,0.07819968461990356,0.6399080157279968,0.6473854184150696,0.7255851030349731,5782.3505859375,-782.3505859375,782.3505859375
168335,96,199,9,argmax,0.14085127413272858,7,0.020407259464263916,0.8949257731437683,0.8944054245948792,0.9148126840591431,7657.0703125,-2657.070556640625,2657.070556640625
168910,97,215,9,argmax,0.09776515513658524,9,0.06711477041244507,0.6130581498146057,0.6089586019515991,0.6760733723640442,5509.2294921875,-509.22930908203125,509.22930908203125
168910,98,238,9,argmax,0.11743465065956116,9,0.0389748215675354,0.6622909307479858,0.6569647192955017,0.6959395408630371,5495.03759765625,-495.0377197265625,495.0377197265625
168910,99,240,9,argmax,0.1563006341457367,9,0.013316571712493896,0.6633936166763306,0.6704143285751343,0.6837309002876282,5409.2646484375,-409.2645568847656,409.2645568847656
168335,100,251,9,argmax,1.0,9,0.0,0.9266846179962158,0.9404197931289673,0.9404197931289673,5304.076171875,-304.076416015625,304.076416015625
168910,101,16,10,argmax,0.10995712131261826,10,0.04791975021362305,0.64757239818573,0.646649956703186,0.6945697069168091,5773.85009765625,-773.8499145507812,773.8499145507812
168910,102,46,10,argmax,0.1601727455854416,10,0.011965394020080566,0.6782901287078857,0.6721569299697876,0.6841223239898682,5197.85546875,-197.8555908203125,197.8555908203125
168910,103,47,10,argmax,0.12500540912151337,10,0.03161805868148804,0.6706376075744629,0.6598783135414124,0.6914963722229004,5698.29052734375,-698.2904663085938,698.2904663085938
168910,104,68,10,argmax,0.14197638630867004,10,0.019782602787017822,0.6648554801940918,0.6604310870170593,0.6802136898040771,5169.4033203125,-169.403564453125,169.403564453125
168331,105,104,10,argmax,0.09367309510707855,10,0.07514894008636475,0.5191952586174011,0.5136706829071045,0.5888196229934692,6684.11474609375,-1684.11474609375,1684.11474609375
168910,106,122,10,argmax,1.0,10,0.0,0.7647298574447632,0.7519046664237976,0.7519046664237976,5483.45166015625,-483.45159912109375,483.45159912109375
168910,107,135,10,argmax,1.0,10,0.0,0.7106851935386658,0.7057067155838013,0.7057067155838013,5328.302734375,-328.3027648925781,328.3027648925781
